time,station,temp,hum,pres,prcp,binary_prcp
1995-01-01,Mumbai,22.125,61.125,1013.4125,0,0
1995-01-01,Ratnagiri,25.11428571,43.57142857,1013.442857,0,0
1995-01-02,Mumbai,22.2,63.75,1012.6,0,0
1995-01-02,Ratnagiri,22.05714286,65.85714286,1013.271429,0,0
1995-01-03,Mumbai,21.25714286,70.28571429,1012.928571,0,0
1995-01-03,Ratnagiri,20.64,69.4,1012.58,0,0
1995-01-04,Mumbai,20.94285714,65.42857143,1012.871429,0,0
1995-01-04,Ratnagiri,23.025,63.625,1012.775,0,0
1995-01-05,Mumbai,21.85714286,64,1013.2,0,0
1995-01-05,Ratnagiri,22.225,74.125,1013.525,0,0
1995-01-06,Mumbai,23.275,65.125,1012.9875,0,0
1995-01-06,Ratnagiri,24.86666667,67.33333333,1013.266667,0,0
1995-01-07,Mumbai,22.75,80.375,1012.65,0,0
1995-01-07,Ratnagiri,23.475,75.25,1013.7125,0,0
1995-01-08,Mumbai,21.22857143,72.28571429,1012.8,0,0
1995-01-08,Ratnagiri,23.21428571,73.14285714,1012.8875,0,0
1995-01-09,Mumbai,20.2,55.375,1014.7375,0,0
1995-01-09,Ratnagiri,21.95,58.125,1014.6125,0,0
1995-01-10,Mumbai,20.025,52.75,1014.075,0,0
1995-01-10,Ratnagiri,22.7,58.5,1013.8875,0,0
1995-01-11,Mumbai,21.05714286,53.85714286,1014.285714,0,0
1995-01-11,Ratnagiri,20.91428571,62,1014.342857,0,0
1995-01-12,Mumbai,21,58.5,1014.714286,0,0
1995-01-12,Ratnagiri,22.05714286,64.14285714,1014.257143,0,0
1995-01-13,Mumbai,21.675,56.875,1012.9625,0,0
1995-01-13,Ratnagiri,22.42857143,58.57142857,1012.757143,0,0
1995-01-14,Mumbai,23.28571429,55.57142857,1012.314286,0,0
1995-01-14,Ratnagiri,24.1,58,1012.2,0,0
1995-01-15,Mumbai,23,63.5,1013.0875,0,0
1995-01-15,Ratnagiri,24.51428571,69.14285714,1013.057143,0,0
1995-01-16,Mumbai,21.31428571,69.14285714,1013.657143,0,0
1995-01-16,Ratnagiri,23.53333333,73.5,1014.05,0,0
1995-01-17,Mumbai,23.825,57.375,1015.925,0,0
1995-01-17,Ratnagiri,24.925,56.375,1015.225,0,0
1995-01-18,Mumbai,23.625,53.375,1016.775,0,0
1995-01-18,Ratnagiri,23.45,50.125,1016.025,0,0
1995-01-19,Mumbai,22.8,51.25,1015.8375,0,0
1995-01-19,Ratnagiri,24.1,45,1015.4625,0,0
1995-01-20,Mumbai,22.15,61.125,1013.5875,0,0
1995-01-20,Ratnagiri,24.4625,56.125,1013.375,0,0
1995-01-21,Mumbai,21.825,59.125,1013.425,0,0
1995-01-21,Ratnagiri,23.6,60.75,1012.885714,0,0
1995-01-22,Mumbai,22.925,52.125,1013.7375,0,0
1995-01-22,Ratnagiri,23.25714286,64.14285714,1013.014286,0,0
1995-01-23,Mumbai,21.91428571,45.85714286,1015.014286,0,0
1995-01-23,Ratnagiri,22.08571429,58.85714286,1014.485714,0,0
1995-01-24,Mumbai,21.85,52.375,1014.5,0,0
1995-01-24,Ratnagiri,23.5,45.25,1014.075,0,0
1995-01-25,Mumbai,21.22857143,57.71428571,1015.542857,0,0
1995-01-25,Ratnagiri,24.4,43.33333333,1015.416667,0,0
1995-01-26,Mumbai,22.775,53.125,1014.9125,0,0
1995-01-26,Ratnagiri,24.625,47.625,1014.9625,0,0
1995-01-27,Mumbai,23.2,59.14285714,1014.285714,0,0
1995-01-27,Ratnagiri,23.77142857,55.28571429,1014.385714,0,0
1995-01-28,Mumbai,25.3,45.25,1014.525,0,0
1995-01-28,Ratnagiri,26.94285714,37.71428571,1014.142857,0,0
1995-01-29,Mumbai,24.9,42.625,1014.5375,0,0
1995-01-29,Ratnagiri,26.11428571,42.42857143,1014.4,0,0
1995-01-30,Mumbai,24.525,44.625,1014.471429,0,0
1995-01-30,Ratnagiri,26.4125,35.875,1013.925,0,0
1995-01-31,Mumbai,25.7,44,1013.725,0,0
1995-01-31,Ratnagiri,26.475,48,1013.571429,0,0
1995-02-01,Mumbai,26.075,52.5,1013.7625,0,0
1995-02-01,Ratnagiri,26.725,53,1013.75,0,0
1995-02-02,Mumbai,25.75,60.5,1014.025,0,0
1995-02-02,Ratnagiri,26.6,62.14285714,1013.685714,0,0
1995-02-03,Mumbai,22.94285714,72.42857143,1013.357143,0,0
1995-02-03,Ratnagiri,24.8,62.57142857,1013.371429,0,0
1995-02-04,Mumbai,23.7,58.625,1012.975,0,0
1995-02-04,Ratnagiri,25.11428571,60.42857143,1013.128571,0,0
1995-02-05,Mumbai,25.175,49.875,1013.25,0,0
1995-02-05,Ratnagiri,26.75714286,49.71428571,1013.514286,0,0
1995-02-06,Mumbai,26.775,52.75,1013.2,0,0
1995-02-06,Ratnagiri,28.07142857,48.71428571,1013.528571,0,0
1995-02-07,Mumbai,28.45,50.75,1013.6625,0,0
1995-02-07,Ratnagiri,27.55,53.25,1014,0,0
1995-02-08,Mumbai,27.2,56.875,1012.475,0,0
1995-02-08,Ratnagiri,27.25,56.25,1012.9875,0,0
1995-02-09,Mumbai,25.975,68.125,1012.45,0,0
1995-02-09,Ratnagiri,26.2,70.75,1012.9625,0,0
1995-02-10,Mumbai,25.425,54.25,1011.5875,0,0
1995-02-10,Ratnagiri,26.1125,70.875,1011.6875,0,0
1995-02-11,Mumbai,24.875,63.625,1010.975,0,0
1995-02-11,Ratnagiri,25.7,74,1011.5625,0,0
1995-02-12,Mumbai,24.4,75.125,1011.95,0,0
1995-02-12,Ratnagiri,25.62857143,76.14285714,1012.242857,0,0
1995-02-13,Mumbai,24.25,71.125,1012.6,0,0
1995-02-13,Ratnagiri,24.65,75,1012.725,0,0
1995-02-14,Mumbai,23.375,64.875,1013.1625,0,0
1995-02-14,Ratnagiri,24.76666667,64.33333333,1012.7,0,0
1995-02-15,Mumbai,23,51.875,1012.4125,0,0
1995-02-15,Ratnagiri,23.42857143,60.85714286,1012.157143,0,0
1995-02-16,Mumbai,23.625,51.125,1011.025,0,0
1995-02-16,Ratnagiri,23.95,63,1011.383333,0,0
1995-02-17,Mumbai,24.03333333,56.83333333,1011.083333,0,0
1995-02-17,Ratnagiri,23.37142857,63.71428571,1012,0,0
1995-02-18,Mumbai,22.4,72.25,1011.8,0,0
1995-02-18,Ratnagiri,22.44,57.8,1011.84,0,0
1995-02-19,Mumbai,22.85,67.25,1012.775,0,0
1995-02-19,Ratnagiri,23.31428571,67.42857143,1013.028571,0,0
1995-02-20,Mumbai,24.925,56.5,1012.075,0,0
1995-02-20,Ratnagiri,24.225,62.75,1011.9875,0,0
1995-02-21,Mumbai,25.525,46,1011.3375,0,0
1995-02-21,Ratnagiri,25.05,63.25,1011.2125,0,0
1995-02-22,Mumbai,23.68571429,49.85714286,1011.2,0,0
1995-02-22,Ratnagiri,24.5,61.625,1010.55,0,0
1995-02-23,Mumbai,24.57142857,45.28571429,1011.314286,0,0
1995-02-23,Ratnagiri,23.9,58.125,1011.2125,0,0
1995-02-24,Mumbai,22.4,55.66666667,1011.077778,0,0
1995-02-24,Ratnagiri,23.84444444,60.11111111,1011.377778,0,0
1995-02-25,Mumbai,24.525,66.25,1010.2375,0,0
1995-02-25,Ratnagiri,23.925,69.625,1011.1,0,0
1995-02-26,Mumbai,24.575,72,1010.8875,0,0
1995-02-26,Ratnagiri,24.25714286,71.57142857,1011.742857,0,0
1995-02-27,Mumbai,24.02857143,74.71428571,1011.5,0,0
1995-02-27,Ratnagiri,24.15,70.5,1012.175,0,0
1995-02-28,Mumbai,23.3,67.75,1012.025,0,0
1995-02-28,Ratnagiri,24.2,72.75,1012.125,0,0
1995-03-01,Mumbai,23.45,68.625,1012.8375,0,0
1995-03-01,Ratnagiri,24.0375,77,1012.8875,0,0
1995-03-02,Mumbai,25.02857143,55.42857143,1013.285714,0,0
1995-03-02,Ratnagiri,24.7,71.25,1013.1,0,0
1995-03-03,Mumbai,26.45,45.375,1011.5875,0,0
1995-03-03,Ratnagiri,25.6,63.125,1011.9875,0,0
1995-03-04,Mumbai,26,50.5,1011.7875,0,0
1995-03-04,Ratnagiri,24.9375,70.75,1012.2,0,0
1995-03-05,Mumbai,25.925,50.625,1011.625,0,0
1995-03-05,Ratnagiri,25.4,64.5,1011.8875,0,0
1995-03-06,Mumbai,25.3,60.75,1012.2,0,0
1995-03-06,Ratnagiri,25.325,68.75,1012.3625,0,0
1995-03-07,Mumbai,25.025,57.5,1012.3125,0,0
1995-03-07,Ratnagiri,25.53333333,64.66666667,1011.433333,0,0
1995-03-08,Mumbai,24.7,56.66666667,1011.216667,0,0
1995-03-08,Ratnagiri,24.85714286,66,1010.771429,0,0
1995-03-09,Mumbai,24.42857143,49.42857143,1010.9,0,0
1995-03-09,Ratnagiri,24.4,68.375,1011.2875,0,0
1995-03-10,Mumbai,25.5375,40.57142857,1011.4875,0,0
1995-03-10,Ratnagiri,25.6,51.71428571,1011.771429,0,0
1995-03-11,Mumbai,25.625,40.375,1011.675,0,0
1995-03-11,Ratnagiri,24.7,58.875,1011.875,0,0
1995-03-12,Mumbai,27.325,45.125,1010.5625,0,0
1995-03-12,Ratnagiri,25.5,69.5,1011.35,0,0
